,dates,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
0,2022-03-31,5897.033,3402.781,2494.252,1146.505,705.5748,-134.0892,5388.951,508.0825,-68.8653,439.2171,-127.3419,566.559,,566.559,,314.874,737.9191,508.0825,3330.0,3330.0,0.095,0.095,9547.75,7150.639,4420.981,,1064.253,22183.62,1456.881,2642.907,4960.765,,12509.82,34693.44,15122.2,3062.953,596.3328,7803.199,22925.4,,,,,11768.04,34693.44,311.8752,229.8366,206.4888,436.3254,96.4971,-572.5566,-146.8341,36.3069,-586.5867,3.213,-114.3828,,4.9266,,1716.492,1716.492,-62.0109,1545.025,834.0948,-63.5103,770.5845,,,,60.9399,831.5244,2442.523,,,1.467,0.2065,0.355,42.2967,8.6159,8.6159,,7.4481,5.3395,0.17,0.7697,0.8247,109.1324,,8.3228,1.633,3.8201,3.5295,0.001,-0.0334
1,2021-12-31,8112.162,4606.371,3505.791,1343.364,861.9269,63.3743,6748.287,1363.875,-108.2952,1255.578,84.5712,1171.006,,1171.006,,1165.555,1667.214,1363.874,3329.0,3329.0,0.3498,0.3486,7810.101,7247.04,4100.123,,1225.0,20382.26,1583.428,4668.897,5312.529,,15252.33,35634.59,14802.6,2593.301,619.0294,8344.245,23146.85,1943.955,7802.639,,52.9364,12487.74,35634.59,1194.574,303.3381,163.4359,466.775,-603.368,23.6851,350.6605,547.5596,318.5372,1793.336,-116.1723,,20.6477,0.0,-221.337,-221.337,-14.2333,-331.095,-2.5147,-74.2123,-76.727,4.8972,4.8972,-399.0016,-102.2766,-573.1078,885.7062,,-399.0016,1.3769,0.172,0.2972,43.2165,16.8127,16.8127,,15.4777,14.368,0.2276,1.1235,1.1194,80.4019,9.3772,16.3202,3.2862,7.7648,3.7454,0.539,0.504
2,2021-09-30,6509.629,3643.046,2866.583,1174.933,714.6789,45.2387,5487.419,1022.209,-69.1886,953.0209,285.8947,667.1262,,667.1262,,665.5064,1256.24,1022.209,3330.0,3330.0,0.2,0.2,7114.625,6545.959,4029.021,,1181.413,18871.02,1608.577,4064.425,5184.517,,14742.96,33613.97,14561.42,2578.027,471.5932,7988.391,22549.81,,,,,11064.16,33613.97,644.5088,234.0305,356.8565,590.8866,1028.5541,-442.3737,211.2857,-216.5741,580.892,1674.303,-130.1598,,-6.1587,0.0,-892.4018,-892.4018,-0.4468,-1029.1668,-6.8128,-63.378,-70.1908,0.0,0.0,-7.9621,-210.6411,-288.794,371.6719,,-7.9621,1.296,0.189,0.3392,44.0361,15.703,15.703,,14.6402,10.2234,0.1937,0.9042,0.9945,90.5023,,11.3464,1.9847,4.8902,3.3186,0.503,0.4639
3,2021-06-30,6532.485,3695.888,2836.597,1246.072,828.9708,-69.1998,5840.13,692.3545,-53.9806,638.3741,174.6641,463.71,,463.71,,437.4331,-6181.881,692.3545,3329.0,3332.0,0.131,0.131,6673.619,7336.011,3628.233,,1404.328,19042.19,1633.567,3441.204,5291.763,,14374.06,33416.25,14822.31,2576.92,418.2902,7691.403,22513.71,,,,,10902.54,33416.25,462.7596,-6874.2356,217.8784,-6656.3576,-480.2363,-82.9784,89.6952,463.7643,-9.7552,705.304,-149.0099,,-8.2056,0.0,-689.5494,-689.5494,0.0015,-846.7634,868.8061,-73.1969,795.6092,0.0,0.0,-395.6977,111.9007,511.8122,325.5177,,-395.6977,1.2847,0.1912,0.3644,43.423,10.5986,10.5986,,9.7723,6.6963,0.1955,1.0186,0.8905,101.0704,,8.2646,1.3877,3.4401,3.2701,0.2115,0.1668
4,2021-03-31,5933.538,3395.174,2538.364,1141.459,737.6096,-32.184,5306.426,627.1113,-63.5336,563.5776,185.952,377.6256,,377.6256,,377.6256,8009.763,627.1113,3328.0,3328.0,0.1144,0.1144,5380.926,7039.952,3605.8,,1412.878,17439.56,1637.212,15623.07,5382.714,,26702.47,32222.03,13707.4,2777.241,436.6296,8010.24,21717.64,,,,,10504.38,32222.03,377.6256,7382.652,214.9176,7597.57,235.8968,-147.212,-490.1504,-21.5752,-423.0408,382.036,-130.524,,0.596,,19.1912,19.1912,-0.596,-111.3328,-615.668,-65.3216,-680.9896,,,-0.596,-53.5208,-735.1064,-365.8248,,-0.596,1.2723,0.2091,0.2911,42.7799,10.5689,10.5689,,9.4982,6.3643,0.1841,0.9416,0.8428,106.7821,,7.3731,1.1719,2.8432,3.1564,0.1148,0.0756
5,2020-12-31,7946.802,4736.896,3209.907,1204.392,857.2247,63.5558,6734.957,1211.846,-14.0048,1197.842,408.2766,789.5649,,789.5649,,824.9302,1417.479,1211.845,3323.0,3323.0,0.248,0.248,5497.088,6539.237,3062.573,,1228.757,16327.66,1458.747,3188.032,4753.163,,13269.12,29596.77,12460.88,2421.762,465.321,7851.597,20312.48,1817.248,5227.64,,-293.101,9284.293,29596.77,744.29,205.6332,340.6058,546.239,-803.5538,421.8792,321.9358,227.5226,167.7838,1458.313,-111.9736,,-1007.6044,0.0,139.2416,139.2416,72.3066,-908.0298,-462.487,-62.5562,-525.0431,17.767,17.767,-367.052,-34.6334,-908.9616,-576.699,,-367.052,1.3103,0.2069,0.3541,40.3925,15.2495,15.2495,,15.0733,10.3807,0.2685,1.5467,1.2152,74.0589,8.5043,17.4253,2.6677,6.7449,2.7846,0.4394,0.4055
6,2020-09-30,6482.842,3689.688,2793.154,1139.393,675.8976,-2.9328,5507.911,974.9307,12.2952,987.2256,359.3808,627.8448,,627.8448,,603.8184,1252.569,974.9307,3326.0,3326.0,0.182,0.182,6127.973,6445.279,3700.291,,1293.59,17567.13,1565.89,3603.622,4104.002,,13699.56,31266.69,13918.39,2496.49,466.6536,8043.994,21962.38,,,,,9304.308,31266.69,673.576,277.6384,236.5698,514.2082,-118.4118,-194.8338,-52.264,-135.1438,-500.6534,687.131,-147.7492,,-12.4174,0.0,-49.2842,-49.2842,32.3736,-177.0772,0.0,-75.3692,-75.3692,0.0,0.0,-28.2188,-25.7466,-129.3346,357.2376,,-28.2188,1.2622,0.2116,0.4452,43.0853,15.0386,15.0386,,15.2283,9.3141,0.2073,0.9971,1.0058,89.4785,,12.0732,2.008,5.3204,2.7907,0.2062,0.1619
7,2020-06-30,5746.765,3583.948,2162.818,1037.619,729.1768,2.1714,5348.572,398.1934,30.1928,428.3862,161.0972,267.289,,267.289,,253.5368,620.6998,398.1934,3322.0,3322.0,0.076,0.076,5314.14,5931.127,3300.218,,1134.401,15679.89,1447.186,3397.311,3866.85,,12938.96,28618.85,12873.61,2334.875,419.0802,7631.23,20504.84,,,,,8114.005,28618.85,266.833,222.5064,87.511,310.0174,-1.1118,-129.4526,424.7888,-308.5086,-14.2842,562.5658,-151.6248,,-4.6114,0.0,118.6658,118.6658,-13.02,-50.5904,0.0,-63.782,-63.782,0.0,0.0,-257.3608,-150.4406,-471.5834,-279.0064,,-257.3608,1.218,0.2235,0.4826,37.6354,6.929,6.929,,7.4544,4.4118,0.2008,1.086,0.9689,92.8873,,6.2934,0.934,2.5581,2.441,0.1691,0.1236
8,2020-03-31,5154.1,3104.063,2050.037,947.422,646.2568,-10.2564,4707.999,446.1016,-93.4472,352.6544,116.4464,236.208,,236.208,,223.3616,665.7336,446.1016,3317.0,3317.0,0.0673,0.0673,5820.352,6533.845,3376.117,,1062.522,16792.83,1475.678,3527.062,4131.775,,13490.17,30283.01,13793.1,2422.271,505.6716,8293.801,22086.9,,,,,8196.106,30283.01,236.208,219.632,35.6384,255.2704,575.9124,-55.7368,-225.4336,-340.5332,-45.7912,445.6872,-139.7564,,-21.5488,,-355.5552,-355.5552,-4.3512,-521.2116,,-61.7456,-61.7456,,,-0.9324,210.9296,148.2516,338.5648,,-0.9324,1.2175,0.2281,0.52,39.7749,8.6553,8.6553,,6.8422,4.3337,0.1702,0.9194,0.7888,114.0929,,5.8117,0.78,2.2245,2.4695,0.1344,0.0922
9,2019-12-31,6929.891,4380.601,2549.29,1106.113,855.4805,37.5508,6304.643,625.248,-6.3861,618.8599,162.4036,456.4562,,456.4562,,451.9864,871.2296,625.2471,3306.0,3306.0,0.1368,0.1378,5484.46,6246.644,3265.305,,1287.692,16284.1,1465.33,3064.497,3991.94,,12957.22,29241.32,12359.45,2989.591,507.0994,8219.179,20578.63,1763.898,4111.811,,242.4936,8662.692,29241.32,470.7056,245.9816,133.2984,379.2802,-320.357,543.2454,71.3064,-1068.7754,-774.5804,75.404,-175.1178,,-142.1074,0.0,-177.74,-177.74,-8.189,-503.1542,39.675,-78.4144,-38.7394,20.8426,20.8426,-7.796,27.308,1.6152,-627.892,,-7.796,1.3175,0.2566,0.4604,36.7869,9.0225,9.0225,,8.9303,6.5223,0.237,1.3416,1.1094,81.1265,5.2692,9.7726,1.561,3.9173,2.5982,0.0259,-0.0278
