,dates,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
0,2022-03-31,22.542,13.209,9.333,3.25,6.644,,24.109,-1.567,0.011,-1.556,0.008,-1.564,,-1.564,,-1.564,-0.695,-1.567,17.972,17.972,-0.09,-0.09,27.676,17.329,12.852,1.956,,59.813,11.49,,7.649,2.346,21.485,81.298,12.966,,3.82,3.82,16.786,0.018,-58.299,-0.586,,64.512,81.298,-1.564,0.872,0.403,1.275,1.53,0.772,-1.299,-0.058,-1.041,-1.33,-0.32,,,-0.007,,-0.007,,-0.327,-0.019,,-0.019,,,-1.001,-0.392,-1.412,-3.085,0.774,-1.001,4.6131,,,41.4027,-6.9515,-6.9515,,-6.9027,-6.9382,0.2773,1.0278,1.3008,69.1869,-2.4244,-2.7505,-1.9238,-2.4244,3.4958,-0.074,-0.0918
1,2021-12-31,26.008,14.064,11.944,3.605,7.045,,25.63,0.378,-0.037,0.341,0.021,0.32,,0.32,,0.32,1.244,0.378,18.017,18.122,0.02,0.02,30.754,18.905,13.691,1.747,,65.097,11.949,,7.913,2.438,22.3,87.397,16.477,,3.999,3.999,20.476,0.018,-56.735,-0.36,,66.921,87.397,0.32,0.866,1.365,2.231,-3.058,-0.747,0.714,-0.188,-3.249,-0.698,-0.324,,0.0,0.118,0.0,0.118,,-0.206,-0.019,,-0.019,0.422,0.422,-1.014,-0.004,-0.615,-1.58,0.892,-1.014,3.9508,,,45.9243,1.4534,1.4534,,1.3111,1.2304,0.2976,1.0272,1.3757,65.4203,0.4782,0.5423,0.3661,0.4782,3.6693,-0.0417,-0.0585
2,2021-09-30,22.411,12.157,10.254,3.338,6.164,,21.738,0.673,-0.004,0.669,0.005,0.664,,0.664,,0.664,1.538,0.673,17.945,17.962,0.04,0.04,32.452,15.846,12.983,1.282,,62.563,12.369,,8.156,2.479,23.004,85.567,14.884,,4.238,4.238,19.122,0.018,-57.055,-0.22,,66.445,85.567,0.664,0.865,0.307,1.172,0.902,-0.613,-0.07,0.419,1.422,3.258,-0.74,,0.0,2.322,0.0,2.322,,1.582,-0.019,,-0.019,-2.46,-2.46,-1.002,0.0,-3.481,1.347,0.372,-1.002,4.2034,,,45.7543,3.003,3.003,,2.9851,2.9628,0.2619,0.9364,1.4143,63.6357,0.9993,1.1392,0.776,0.9993,3.6589,0.184,0.1417
3,2021-06-30,21.681,11.739,9.942,3.221,6.723,,21.798,-0.117,-0.045,-0.162,0.007,-0.169,,-0.169,,-0.169,0.704,-0.117,18.241,18.241,-0.01,-0.01,33.427,16.786,12.391,1.583,,64.187,12.39,,8.395,2.573,23.358,87.545,14.177,,4.345,4.345,18.522,0.019,-57.719,-0.068,,69.023,87.545,-0.169,0.821,1.076,1.897,-0.739,-1.38,1.431,0.373,-0.269,1.459,-0.912,,-6.277,2.766,0.0,2.766,,-4.423,-0.019,,-0.019,-0.292,-0.292,-1.007,-0.123,-1.441,-4.371,1.039,-1.007,4.5275,,,45.8558,-0.5396,-0.5396,,-0.7472,-0.7795,0.2477,0.9474,1.2916,69.6804,-0.2448,-0.2787,-0.193,-0.2448,3.7271,0.0792,0.0294
4,2021-03-31,17.707,9.369,8.338,3.194,5.839,,18.402,-0.695,0.039,-0.656,0.006,-0.662,,-0.662,,-0.662,0.047,-0.695,18.07,18.07,-0.04,-0.04,37.601,14.61,9.719,1.543,,63.473,12.056,2.963,3.332,2.425,20.776,84.249,10.342,,4.262,4.262,14.604,0.019,-57.55,0.002,,69.645,84.249,-0.662,0.742,0.595,1.337,1.999,0.259,-2.061,0.222,0.979,1.654,-0.354,,,7.454,,7.454,,7.1,-0.016,,-0.016,-0.023,-0.023,-1.011,-0.659,-1.709,7.035,0.618,-1.011,6.1374,,,47.0887,-3.925,-3.925,,-3.7047,-3.7386,0.2102,0.964,1.212,74.2588,-0.9505,-0.9983,-0.7858,-0.9505,3.7607,0.0915,0.0719
5,2020-12-31,21.185,10.569,10.616,3.204,5.427,,19.2,1.985,-0.11,1.875,0.004,1.871,,1.871,,1.871,2.744,1.985,18.207,18.399,0.1,0.1,36.343,16.601,9.984,1.685,,64.613,12.505,4.64,3.332,2.441,22.918,87.531,11.746,,4.387,4.387,16.133,0.018,-56.888,0.018,,71.398,87.531,1.871,0.759,0.521,1.28,-2.639,0.385,2.296,-0.432,-0.35,2.801,-0.72,,0.0,1.616,0.0,1.616,,0.896,-0.019,,-0.019,-1.443,-1.443,-1.029,-0.029,-2.52,1.332,0.483,-1.029,5.5009,,,50.1109,9.3698,9.3698,,8.8506,8.8317,0.242,1.0586,1.2761,70.5258,2.6205,2.7488,2.1375,2.6205,3.8742,0.1495,0.1112
6,2020-09-30,18.923,9.348,9.575,3.216,5.199,,17.788,1.135,-0.084,1.051,0.009,1.042,,1.042,,1.042,1.893,1.135,18.199,18.311,0.06,0.06,37.532,13.955,10.29,1.207,,62.984,12.728,3.735,3.332,2.492,22.287,85.271,9.373,,4.557,4.557,13.93,0.019,-58.759,-0.186,,71.341,85.271,1.042,0.758,0.367,1.125,1.534,0.809,-2.02,0.181,1.374,3.541,-0.955,,0.0,-3.74,0.0,-3.74,,-4.695,-0.018,,-0.018,0.008,0.008,-1.025,-0.002,-1.037,-2.029,0.433,-1.025,6.7197,,,50.5998,5.998,5.998,,5.5541,5.5065,0.2219,0.9085,1.356,66.3716,1.4606,1.5322,1.222,1.4606,3.8275,0.1913,0.1399
7,2020-06-30,19.842,10.321,9.521,3.07,5.342,,18.744,1.098,0.102,1.2,0.008,1.192,,1.192,,1.192,1.852,1.098,18.159,18.214,0.07,0.07,35.814,15.414,11.017,1.32,,63.565,12.488,3.742,3.332,2.579,22.141,85.706,10.578,,4.449,4.449,15.027,0.019,-59.801,-0.392,,70.679,85.706,1.192,0.754,0.782,1.536,-1.367,0.122,0.073,0.381,0.061,2.789,-0.902,,0.0,-4.49,0.0,-4.49,,-5.392,-0.021,,-0.021,0.437,0.437,-1.022,0.0,-0.606,-3.204,1.001,-1.022,6.0092,,,47.9841,5.5337,5.5337,,6.0478,6.0075,0.2315,0.9368,1.2873,69.9153,1.6865,1.7699,1.3908,1.6865,3.7917,0.153,0.1035
8,2020-03-31,17.506,9.291,8.215,3.029,5.944,,18.384,-0.878,0.198,-0.68,0.008,-0.688,,-0.688,,-0.688,0.014,-0.878,18.207,18.207,-0.04,-0.04,38.27,13.918,11.133,1.568,,64.889,12.13,,3.332,2.748,18.21,83.099,9.754,,4.289,4.289,14.043,0.018,-60.993,-0.407,,69.056,83.099,-0.688,0.892,0.65,1.542,3.432,0.76,0.737,0.509,3.435,4.289,-1.516,,,3.948,,3.948,,2.432,-0.02,,-0.02,-1.941,-1.941,-1.032,-1.106,-4.099,2.568,0.562,-1.032,6.6526,,,46.9268,-5.0154,-5.0154,,-3.8844,-3.9301,0.2107,0.8345,1.2578,71.5538,-0.9963,-1.0468,-0.8279,-0.9963,3.7417,0.2356,0.1523
9,2019-12-31,22.898,11.385,11.513,3.049,6.495,,21.191,1.707,0.107,1.814,0.016,1.798,,1.798,,1.798,2.64,1.707,17.853,18.159,0.11,0.11,39.65,17.38,11.935,1.842,,70.807,11.985,,3.476,2.969,18.43,89.237,12.572,,3.315,3.315,15.887,0.019,-60.305,-0.318,,73.35,89.237,1.798,0.933,0.593,1.526,-0.256,1.711,-1.822,-0.43,-0.001,3.323,-0.897,,0.0,48.108,-48.245,-0.137,,-1.034,-0.02,,-0.02,0.453,0.453,-1.022,-0.398,-0.987,1.447,0.887,-1.022,5.6321,,,50.2795,7.4548,7.4548,,7.9221,7.8522,0.2566,0.9539,1.3175,68.3116,2.4513,2.5732,2.0149,2.4513,3.9412,0.1835,0.134
