,dates,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,other-income,income-from-continuous-operations,income-from-discontinuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,ebitda-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
0,2022-03-31,13.258,11.73,1.528,4.168,4.381,-0.061,20.34,-7.082,-0.062,-7.144,0.068,-7.212,,-7.212,,-7.212,-7.091,-7.082,19.111,19.111,-0.38,-0.38,10.63,14.408,5.22,3.557,,33.815,0.491,,,4.277,5.48,39.295,25.801,0.03,,2.473,28.274,0.019,-242.995,,,11.021,39.295,-7.212,-0.009,0.285,0.276,-1.352,0.324,3.966,2.994,6.327,-0.609,-0.003,,,,,,,-0.003,-0.036,,-0.036,0.045,0.045,,,0.009,-0.603,0.283,,1.3106,0.0027,0.0162,11.5251,-53.4168,-53.4168,,-53.8845,-54.3974,0.3374,2.2471,0.9202,97.8066,-65.4387,-65.4387,-18.3535,-65.2611,0.572,-0.0319,-0.032
1,2021-12-31,15.931,16.418,-0.487,3.87,4.792,-2.593,27.673,-11.742,-0.04,-11.782,-0.06,-11.722,,-11.722,,-11.722,-11.244,-11.742,9.465,9.465,-0.37,-0.37,11.233,13.058,5.544,5.852,,35.687,0.534,,,4.869,5.403,41.09,20.985,0.066,,1.475,22.46,0.019,-234.805,,,18.63,41.09,-11.722,0.498,2.07,2.568,-7.597,2.743,-3.031,-0.77,-8.166,-17.564,-0.026,,,,,,,-0.026,-0.037,,-0.037,18.673,18.673,,0.0,18.636,1.046,0.325,,1.7006,0.0035,0.0115,-3.0569,-73.7054,-73.7054,,-73.9564,-73.5798,0.3877,2.9614,1.22,73.7694,-62.92,-62.92,-28.5276,-62.6979,0.9905,-1.5655,-1.5679
2,2021-09-30,14.445,12.661,1.784,5.492,6.048,-0.967,25.168,-10.723,-0.126,-10.849,0.09,-10.939,,-10.939,,-10.939,-10.137,-10.723,8.366,8.366,-1.31,-1.31,10.187,5.643,9.906,6.863,,32.599,0.57,,,5.023,5.593,38.192,24.19,0.074,,1.357,25.547,0.009,-223.083,,,12.645,38.192,-10.939,0.586,1.043,1.629,4.373,1.982,-3.764,-1.226,3.612,-5.698,-0.02,,,,,,,-0.02,-0.037,,-0.037,9.046,9.046,,0.0,9.009,3.291,0.285,,1.3476,0.0058,0.0198,12.3503,-74.2333,-74.2333,,-75.1056,-75.7286,0.3782,1.2781,2.5598,35.1589,-86.5085,-86.5085,-28.6421,-86.0052,1.3666,-0.212,-0.2144
3,2021-06-30,11.954,9.3,2.654,3.67,4.567,-0.903,18.44,-6.486,-0.124,-6.61,0.076,-6.686,,-6.686,,-6.686,-5.995,-6.486,6.6507,6.6507,-1.0,-1.0,6.896,10.746,11.91,7.416,,36.968,0.645,,,3.26,3.905,40.873,26.531,0.111,,1.38,27.911,0.067,-212.144,,,12.962,40.873,-6.686,0.491,0.141,0.632,-4.867,-1.323,5.074,-0.771,-0.963,-7.017,0.0,,,,,,,0.0,-0.037,,-0.037,0.038,0.038,,0.0,0.001,-7.016,0.179,,1.3934,0.0085,0.0222,22.2018,-54.258,-54.258,,-55.2953,-55.9311,0.2925,0.7809,1.1124,80.9051,-51.5815,-51.5815,-16.358,-51.1436,1.936,-1.0516,-1.0516
4,2021-03-31,12.24,9.777,2.463,4.664,4.443,-2.406,21.29,-9.05,-0.169,-9.219,0.061,-9.28,,-9.28,,-9.28,-8.496,-9.05,6.632,6.632,-1.4,-1.4,13.912,5.834,10.556,5.961,,36.263,0.749,,,3.734,4.483,40.746,19.911,0.148,,1.404,21.315,0.066,-205.458,,,19.431,40.746,-9.28,0.554,0.311,0.865,-1.229,0.779,2.338,1.213,0.218,-8.197,,,,,,,,0.0,-0.037,,-0.037,0.005,0.005,,,-0.032,-8.229,0.296,,1.8213,0.0076,0.0167,20.1226,-73.9379,-73.9379,,-75.3186,-75.817,0.3004,0.9262,2.098,42.8971,-47.7587,-47.7587,-22.7752,-47.3977,2.93,-1.236,-1.236
5,2020-12-31,15.835,12.106,3.729,5.637,3.99,-1.103,23.295,-7.46,0.018,-7.442,-1.034,-6.408,,-6.408,,-6.408,-7.053,-7.46,4.621,4.621,1.5,1.5,22.141,4.605,11.344,7.481,,45.571,0.843,,,3.898,4.741,50.312,20.474,0.185,,1.428,21.902,0.007,-196.178,,,28.41,50.312,-6.408,0.407,0.647,1.054,1.186,1.189,-1.716,-0.801,-4.261,-9.85,0.192,,,,,,,0.192,-0.037,,-0.037,0.164,0.164,,0.0,0.127,-9.531,0.317,,2.2258,0.0065,0.0127,23.5491,-47.1108,-47.1108,,-46.9972,-40.4673,0.3147,1.0672,3.4387,26.173,-22.5554,-22.5554,-12.7365,-22.4095,4.2844,-2.1775,-2.1491
6,2020-09-30,14.393,9.994,4.399,3.389,5.361,-1.768,20.512,-6.119,-0.195,-6.314,0.15,-6.464,,-6.464,,-6.464,-5.445,-6.119,6.594,6.594,-0.98,-0.98,31.672,5.804,12.828,6.148,,56.452,1.146,,,4.778,5.924,62.376,25.682,0.222,,2.357,28.039,0.066,-189.77,,,34.337,62.376,-6.464,0.674,0.45,1.124,-0.536,2.397,-0.79,0.134,-1.267,-6.372,-0.01,,,,,,,-0.01,-0.073,,-0.073,0.065,0.065,,0.0,-0.008,-6.39,0.312,,2.1981,0.0064,0.0116,30.5635,-42.5137,-42.5137,,-43.8686,-44.9107,0.2307,0.7791,2.4798,36.2926,-18.8252,-18.8252,-10.363,-18.7042,5.2019,-1.8973,-1.8671
7,2020-06-30,21.058,16.14,4.918,3.256,5.2,-3.082,27.678,-6.62,-0.296,-6.916,0.18,-7.096,,-7.096,,-7.096,-5.86,-6.62,3.1638,3.1638,-2.2,-2.2,38.062,5.268,15.225,6.342,,64.897,1.291,,,5.264,6.555,71.452,28.732,0.325,,2.465,31.197,0.066,-183.306,,,40.255,71.452,-7.096,0.76,0.541,1.301,-0.269,0.91,5.746,-1.606,10.382,4.587,-0.009,,,,,,,-0.009,-3.999,,-3.999,25.127,25.127,,-0.006,21.122,25.7,0.235,,2.2587,0.008,0.0117,23.3546,-31.437,-31.437,,-32.8426,-33.6974,0.2947,1.0601,3.9973,22.515,-17.6276,-17.6276,-9.9311,-17.4865,6.106,1.2681,1.2964
8,2020-03-31,12.706,10.541,2.165,3.936,5.694,-0.509,21.767,-9.061,-0.72,-9.781,0.183,-9.964,,-9.964,,-9.964,-8.174,-9.061,2.0614,2.0614,-4.8,-4.8,12.362,4.999,16.135,5.064,,38.56,1.447,,,6.002,7.449,46.009,27.639,0.325,,2.376,30.015,0.021,-176.21,,,15.994,46.009,-9.964,0.887,0.968,1.855,5.083,2.989,-1.746,1.414,9.184,1.075,-0.184,,,,,,,-0.184,-0.037,,-0.037,0.21,0.21,,,0.173,1.064,0.223,,1.3951,0.0199,0.6522,17.0392,-71.3128,-71.3128,,-76.9794,-78.4196,0.2762,0.6533,2.5417,35.4093,-62.2984,-62.2984,-21.6566,-61.0577,7.7352,0.5215,0.4322
9,2019-12-31,17.17,13.009,4.161,5.068,5.24,,24.569,-7.399,-0.334,-7.733,0.603,-8.336,,-8.336,,-8.336,-6.543,-7.399,1.8604,1.8604,-4.3,-4.3,11.298,10.082,19.531,6.43,,47.341,1.442,,,6.676,8.118,55.459,27.611,0.362,,2.323,29.934,0.02,-166.246,,,25.525,55.459,-8.336,0.856,1.875,2.731,7.242,4.376,-10.455,-0.375,0.885,-4.72,-0.101,,,,,,,-0.101,-0.072,,-0.072,-0.158,-0.158,,0.0,-0.23,-5.051,0.397,,1.7146,0.014,0.3989,24.2341,-43.0926,-43.0926,,-45.0379,-48.5498,0.3096,0.6661,1.703,52.8468,-32.6582,-32.6582,-15.0309,-32.2015,12.4896,-3.8696,-3.9819
